Time,Mapa,Wins,Losses,Win rate,Total rounds,Round win-% after getting first kill,Round win-% after receiving first death
Eternal Fire,Ancient,0,2,0.0,45,0.636,0.217
MIBR,Anubis,32,21,0.604,1148,0.777,0.281
MIBR,Nuke,32,19,0.627,1056,0.737,0.307
MIBR,Vertigo,32,16,0.667,1011,0.746,0.34600000000000003
MIBR,Ancient,32,13,0.711,928,0.7759999999999999,0.31
MIBR,Mirage,12,23,0.34299999999999997,722,0.723,0.19
MIBR,Inferno,15,7,0.682,457,0.6940000000000001,0.391
MIBR,Dust2,1,1,0.5,49,0.765,0.312
paiN,Nuke,54,25,0.684,1649,0.7709999999999999,0.33
paiN,Anubis,42,20,0.677,1285,0.785,0.292
paiN,Vertigo,40,17,0.7020000000000001,1244,0.747,0.34
paiN,Mirage,29,19,0.604,1024,0.738,0.301
paiN,Inferno,28,14,0.667,962,0.752,0.324
paiN,Dust2,16,9,0.64,527,0.767,0.306
paiN,Overpass,2,2,0.5,82,0.8370000000000001,0.205
paiN,Ancient,2,0,1.0,39,0.8,0.222
Virtus.pro,Ancient,19,18,0.514,834,0.722,0.278
Virtus.pro,Mirage,17,8,0.68,545,0.726,0.32
Virtus.pro,Dust2,10,13,0.435,502,0.7040000000000001,0.282
Virtus.pro,Vertigo,9,14,0.391,513,0.708,0.237
Virtus.pro,Inferno,10,10,0.5,415,0.7,0.28800000000000003
Virtus.pro,Anubis,11,9,0.55,417,0.71,0.285
Virtus.pro,Overpass,11,6,0.647,375,0.763,0.294
3DMAX,Anubis,45,28,0.616,1540,0.745,0.309
3DMAX,Ancient,30,36,0.455,1413,0.706,0.258
3DMAX,Nuke,35,26,0.574,1346,0.74,0.313
3DMAX,Inferno,31,14,0.6890000000000001,1004,0.746,0.319
3DMAX,Dust2,20,12,0.625,747,0.7390000000000001,0.275
3DMAX,Vertigo,17,10,0.63,613,0.7440000000000001,0.28600000000000003
3DMAX,Overpass,7,6,0.5379999999999999,299,0.687,0.276
3DMAX,Mirage,0,2,0.0,32,0.429,0.12
Complexity,Anubis,18,14,0.562,675,0.727,0.282
Complexity,Vertigo,22,8,0.733,734,0.757,0.292
Complexity,Ancient,12,13,0.48,535,0.6759999999999999,0.28300000000000003
Complexity,Nuke,5,12,0.294,353,0.6729999999999999,0.22899999999999998
Complexity,Inferno,7,7,0.5,311,0.679,0.335
Complexity,Dust2,5,6,0.455,261,0.706,0.259
Complexity,Overpass,2,6,0.25,166,0.621,0.165
GamerLegion,Mirage,20,21,0.488,933,0.727,0.259
GamerLegion,Ancient,21,13,0.618,755,0.713,0.29100000000000004
GamerLegion,Nuke,15,16,0.484,661,0.701,0.267
GamerLegion,Anubis,15,16,0.484,706,0.703,0.284
GamerLegion,Vertigo,13,13,0.5,599,0.7,0.311
GamerLegion,Overpass,15,4,0.789,436,0.79,0.32299999999999995
GamerLegion,Inferno,7,10,0.41200000000000003,347,0.703,0.243
GamerLegion,Dust2,5,8,0.385,275,0.7090000000000001,0.243
BIG,Ancient,27,21,0.562,1075,0.708,0.32799999999999996
BIG,Anubis,11,16,0.40700000000000003,577,0.723,0.218
BIG,Vertigo,13,13,0.5,602,0.726,0.287
BIG,Dust2,12,10,0.545,471,0.6970000000000001,0.322
BIG,Mirage,7,12,0.368,397,0.696,0.223
BIG,Nuke,8,10,0.444,363,0.7140000000000001,0.23
BIG,Inferno,3,7,0.3,225,0.6609999999999999,0.273
BIG,Overpass,3,7,0.3,219,0.664,0.248
SAW,Nuke,39,15,0.722,1193,0.752,0.32299999999999995
SAW,Ancient,20,17,0.541,791,0.753,0.261
SAW,Anubis,16,14,0.5329999999999999,649,0.752,0.254
SAW,Vertigo,14,15,0.483,608,0.748,0.29
SAW,Inferno,14,11,0.56,552,0.721,0.28600000000000003
SAW,Dust2,9,7,0.562,339,0.718,0.297
SAW,Overpass,7,3,0.7,213,0.763,0.284
Wildcard,Ancient,33,23,0.589,1209,0.758,0.252
Wildcard,Inferno,19,16,0.5429999999999999,723,0.7240000000000001,0.313
Wildcard,Vertigo,21,9,0.7,660,0.768,0.32899999999999996
Wildcard,Anubis,21,8,0.7240000000000001,601,0.7609999999999999,0.368
Wildcard,Dust2,15,8,0.652,498,0.763,0.32799999999999996
Wildcard,Nuke,13,9,0.591,488,0.7390000000000001,0.341
Wildcard,Mirage,7,6,0.5379999999999999,261,0.743,0.319
Wildcard,Overpass,7,4,0.636,223,0.723,0.27899999999999997
FlyQuest,Ancient,16,9,0.64,521,0.7509999999999999,0.33799999999999997
FlyQuest,Anubis,16,6,0.727,487,0.7859999999999999,0.313
FlyQuest,Inferno,12,7,0.632,405,0.7909999999999999,0.359
FlyQuest,Nuke,10,7,0.588,344,0.728,0.341
FlyQuest,Vertigo,7,5,0.583,275,0.733,0.35700000000000004
FlyQuest,Mirage,4,5,0.444,183,0.725,0.272
FlyQuest,Dust2,4,3,0.5710000000000001,127,0.768,0.293
M80,Ancient,40,17,0.7020000000000001,1165,0.764,0.35700000000000004
M80,Anubis,22,14,0.611,803,0.733,0.33899999999999997
M80,Mirage,14,12,0.5379999999999999,516,0.77,0.23600000000000002
M80,Vertigo,16,9,0.64,537,0.733,0.34600000000000003
M80,Inferno,12,11,0.522,521,0.715,0.295
M80,Dust2,8,5,0.615,282,0.792,0.268
M80,Overpass,6,1,0.857,124,0.907,0.327
M80,Nuke,1,3,0.25,77,0.619,0.22899999999999998
Imperial,Nuke,34,26,0.5670000000000001,1269,0.735,0.306
Imperial,Mirage,38,16,0.7040000000000001,1193,0.78,0.294
Imperial,Inferno,26,22,0.542,1035,0.745,0.302
Imperial,Anubis,26,19,0.578,943,0.762,0.275
Imperial,Dust2,19,9,0.679,592,0.758,0.302
Imperial,Vertigo,13,14,0.48100000000000004,595,0.6970000000000001,0.285
Imperial,Overpass,8,3,0.727,228,0.8,0.272
Imperial,Ancient,1,3,0.25,79,0.7140000000000001,0.21600000000000003
Passion UA,Mirage,43,41,0.512,1912,0.723,0.287
Passion UA,Ancient,47,33,0.588,1742,0.7240000000000001,0.311
Passion UA,Anubis,46,29,0.613,1674,0.732,0.316
Passion UA,Vertigo,36,19,0.655,1177,0.742,0.336
Passion UA,Inferno,22,25,0.46799999999999997,952,0.7040000000000001,0.256
Passion UA,Dust2,13,17,0.433,649,0.747,0.256
Passion UA,Overpass,6,6,0.5,280,0.703,0.261
B8,Mirage,52,35,0.598,1963,0.765,0.321
B8,Ancient,39,29,0.574,1445,0.731,0.307
B8,Anubis,33,23,0.589,1241,0.733,0.294
B8,Nuke,30,23,0.5660000000000001,1169,0.7290000000000001,0.29600000000000004
B8,Inferno,18,12,0.6,656,0.713,0.349
B8,Dust2,9,9,0.5,399,0.732,0.287
B8,Vertigo,5,0,1.0,116,0.746,0.396
B8,Overpass,1,1,0.5,38,0.8240000000000001,0.381
Cloud9,Ancient,14,13,0.519,606,0.708,0.31
Cloud9,Mirage,15,11,0.5770000000000001,551,0.743,0.317
Cloud9,Anubis,16,10,0.615,540,0.71,0.312
Cloud9,Dust2,7,7,0.5,321,0.728,0.32899999999999996
Cloud9,Overpass,7,5,0.583,258,0.84,0.23600000000000002
Cloud9,Inferno,5,5,0.5,209,0.716,0.27
Cloud9,Nuke,2,7,0.222,207,0.6829999999999999,0.214
Cloud9,Vertigo,3,3,0.5,134,0.841,0.16899999999999998
fnatic,Ancient,35,23,0.603,1206,0.722,0.315
fnatic,Anubis,14,20,0.41200000000000003,779,0.713,0.254
fnatic,Vertigo,18,14,0.562,707,0.737,0.325
fnatic,Inferno,15,16,0.484,678,0.7,0.308
fnatic,Mirage,5,15,0.25,434,0.701,0.19
fnatic,Overpass,7,7,0.5,290,0.7659999999999999,0.228
fnatic,Dust2,7,6,0.5379999999999999,291,0.682,0.34299999999999997
fnatic,Nuke,4,3,0.5710000000000001,153,0.705,0.267
BetBoom,Mirage,30,14,0.682,950,0.775,0.318
BetBoom,Ancient,25,16,0.61,846,0.758,0.322
BetBoom,Anubis,22,18,0.55,864,0.7240000000000001,0.303
BetBoom,Nuke,20,17,0.541,765,0.688,0.305
BetBoom,Vertigo,6,15,0.28600000000000003,448,0.6509999999999999,0.23800000000000002
BetBoom,Overpass,12,8,0.6,482,0.721,0.28600000000000003
BetBoom,Dust2,8,4,0.667,229,0.802,0.29600000000000004
BetBoom,Inferno,1,1,0.5,37,0.684,0.33299999999999996
9z,Nuke,28,21,0.5710000000000001,1094,0.7390000000000001,0.31
9z,Ancient,28,10,0.737,765,0.775,0.317
9z,Mirage,13,17,0.433,636,0.705,0.268
9z,Dust2,14,14,0.5,599,0.757,0.23800000000000002
9z,Anubis,12,12,0.5,537,0.727,0.275
9z,Inferno,9,13,0.409,518,0.6970000000000001,0.25
9z,Overpass,5,5,0.5,231,0.784,0.278
Sangal,Anubis,33,21,0.611,1130,0.752,0.297
Sangal,Nuke,26,20,0.565,1034,0.746,0.266
Sangal,Ancient,24,19,0.5579999999999999,947,0.7490000000000001,0.293
Sangal,Mirage,31,11,0.738,975,0.7709999999999999,0.321
Sangal,Vertigo,19,13,0.594,679,0.728,0.342
Sangal,Overpass,8,7,0.5329999999999999,348,0.762,0.214
Sangal,Dust2,2,9,0.182,223,0.615,0.218
Sangal,Inferno,0,1,0.0,19,0.5710000000000001,0.16699999999999998
Ninjas in Pyjamas,Ancient,24,13,0.649,859,0.763,0.27
Ninjas in Pyjamas,Vertigo,13,15,0.46399999999999997,613,0.7190000000000001,0.312
Ninjas in Pyjamas,Nuke,6,15,0.28600000000000003,422,0.625,0.265
Ninjas in Pyjamas,Mirage,5,14,0.263,456,0.682,0.244
