Ranking HLTV,Pontos HLTV,Time,Line,Nacionalidade,Posição Ranking Valve,Perfil do time,Perfil de Estatisticas,Maps Played,Wins,Losses,Total Kills,Rounds Played,K/D Ratio
26,69,B8,"cptkurtka023, headtr1ck, alex666, npl, esenthial",Ukraine,32,https://www.hltv.org/team/11241/b8,https://www.hltv.org/stats/teams/11241/b8?startDate=2024-01-01&endDate=2024-12-16,319,187,132,24072,7027,1.03
27,67,Cloud9,"Boombl4, interz, Ax1Le, HeavyGod, ICY",Russia,39,https://www.hltv.org/team/5752/cloud9,https://www.hltv.org/stats/teams/5752/cloud9?startDate=2024-01-01&endDate=2024-12-16,130,69,61,9454,2826,1.04
28,63,fnatic,"KRIMZ, bodyy, nawwk, blameF, MATYS",Europe,42,https://www.hltv.org/team/4991/fnatic,https://www.hltv.org/stats/teams/4991/fnatic?startDate=2024-01-01&endDate=2024-12-16,209,105,104,15125,4538,1.03
29,59,BetBoom,"zorte, s1ren, Magnojez",Russia,33,https://www.hltv.org/team/12394/betboom,https://www.hltv.org/stats/teams/12394/betboom?startDate=2024-01-01&endDate=2024-12-16,217,124,93,15457,4621,1.0
30,54,9z,"max, dgt, MartinezSa, HUASOPEEK",South America,61,https://www.hltv.org/team/9996/9z,https://www.hltv.org/stats/teams/9996/9z?startDate=2024-01-01&endDate=2024-12-16,201,109,92,14690,4380,1.05
31,52,Sangal,"xfl0ud, LNZ, SaMey, yxngstxr, jottAAA",Europe,23,https://www.hltv.org/team/10333/sangal,https://www.hltv.org/stats/teams/10333/sangal?startDate=2024-01-01&endDate=2024-12-16,244,143,101,18254,5355,1.02
32,49,Ninjas in Pyjamas,"REZ, MisteM, isak, r1nkle",Europe,45,https://www.hltv.org/team/4411/ninjas-in-pyjamas,https://www.hltv.org/stats/teams/4411/ninjas-in-pyjamas?startDate=2024-01-01&endDate=2024-12-16,148,62,86,10715,3286,0.96
33,48,RED Canids,"HEN1, coldzera, venomzera",Brazil,55,https://www.hltv.org/team/7176/red-canids,https://www.hltv.org/stats/teams/7176/red-canids?startDate=2024-01-01&endDate=2024-12-16,281,161,120,20438,6100,1.05
34,45,ECLOT,"kreaz, Blytz, forsyy, nbqq, Dytor",Czech Republic,35,https://www.hltv.org/team/7441/eclot,https://www.hltv.org/stats/teams/7441/eclot?startDate=2024-01-01&endDate=2024-12-16,323,180,143,23740,6977,1.06
35,44,Rare Atom,"Summer, somebody, kaze, ChildKing, L1haNg",China,75,https://www.hltv.org/team/11514/rare-atom,https://www.hltv.org/stats/teams/11514/rare-atom?startDate=2024-01-01&endDate=2024-12-16,127,68,59,9093,2712,0.99
36,44,Monte,"dycha, hades, KEi, DemQQ, kRaSnaL",Poland,50,https://www.hltv.org/team/11811/monte,https://www.hltv.org/stats/teams/11811/monte?startDate=2024-01-01&endDate=2024-12-16,258,138,120,19418,5636,1.04
37,42,Nemiga,"Xant3r, 1eeR, riskyb0b, khaN, zweih",Russia,26,https://www.hltv.org/team/7969/nemiga,https://www.hltv.org/stats/teams/7969/nemiga?startDate=2024-01-01&endDate=2024-12-16,256,156,100,19274,5658,1.03
38,40,ENCE,"gla1ve, sdy, podi, Neityu, xKacpersky",Europe,29,https://www.hltv.org/team/4869/ence,https://www.hltv.org/stats/teams/4869/ence?startDate=2024-01-01&endDate=2024-12-16,141,64,77,9884,3009,0.98
